keyword_text,base_esi,is_red_flag,resource_estimate,risk_tier,high_acuity_pct,sample_size,esi_1_count,esi_2_count,esi_3_count,esi_4_count,esi_5_count,mode_esi_raw
substance use,2,True,3,high,41.09,1212,46,452,676,37,1,3
r arm pain,3,False,2,mode_based,18.42,1162,19,195,776,170,2,3
dental pain,3,False,2,mode_based,5.3,1095,5,53,563,452,22,3
sdh,2,True,3,high,97.41,1079,113,938,28,0,0,2
right sided abdominal pain,3,False,2,mode_based,14.73,1066,4,153,907,2,0,3
melena,2,True,3,high,75.78,1061,21,783,257,0,0,2
leg pain,3,False,2,mode_based,17.39,1058,20,164,783,91,0,3
hypoglycemia,2,True,3,high,69.13,1030,133,579,315,2,1,2
slurred speech,2,True,3,high,92.56,994,316,604,74,0,0,2
flank pain,3,False,2,mode_based,18.06,969,11,164,784,10,0,3
r ankle pain,3,False,2,mode_based,3.25,954,3,28,514,408,1,3
pelvic pain,3,False,2,mode_based,12.69,938,9,110,799,20,0,3
toe pain,3,False,2,mode_based,6.07,922,4,52,484,372,10,3
jaundice,2,True,3,high,52.76,906,34,444,427,1,0,2
l ankle pain,3,False,2,mode_based,4.65,903,2,40,466,392,3,3
unsteady gait,2,True,3,high,54.64,895,70,419,393,13,0,2
ich,2,True,3,high,98.99,895,292,594,9,0,0,2
facial swelling,3,False,2,moderate,36.81,883,51,274,521,36,1,3
abnormal ekg,2,True,3,high,89.29,868,67,708,91,2,0,2
chest pain cardiac features,2,True,3,high,79.57,842,31,639,172,0,0,2
l eye pain,3,False,2,mode_based,15.16,831,11,115,436,264,5,3
r eye pain,3,False,2,mode_based,18.14,827,4,146,444,229,4,3
sah,2,True,3,high,97.94,825,142,666,17,0,0,2
bradycardia,2,True,3,high,93.93,824,307,467,49,1,0,2
agitation,2,True,3,high,76.38,817,41,583,189,4,0,2
hematemesis,2,True,3,high,75.65,813,70,545,198,0,0,2
body pain,3,False,2,mode_based,18.75,784,13,134,592,45,0,3
hemoptysis,2,True,3,high,63.46,780,43,452,282,3,0,2
l leg swelling,3,False,2,mode_based,21.83,765,6,161,590,8,0,3
r ankle injury,3,False,2,mode_based,8.91,763,8,60,421,272,2,3
abnormal mri,2,True,3,high,68.64,759,18,503,237,1,0,2
ped struck,2,True,3,high,58.13,750,223,213,285,28,1,3
numbness,2,True,3,high,59.54,734,88,349,288,9,0,2
body aches,3,False,2,mode_based,16.92,715,15,106,571,23,0,3
r leg swelling,3,False,2,mode_based,20.7,715,7,141,557,10,0,3
cva,2,True,3,high,99.44,713,417,292,3,0,1,1
l ear pain,3,False,2,mode_based,3.04,690,0,21,333,329,7,3
finger injury,3,False,2,mode_based,12.79,688,1,87,340,255,5,3
l weakness,2,True,3,high,92.1,671,226,392,52,1,0,2
failure thrive,2,True,3,high,46.1,666,18,289,351,8,0,3
gastrointestinal bleeding,2,True,3,high,96.49,655,119,513,23,0,0,2
hyperkalemia,2,True,3,high,82.81,640,12,518,110,0,0,2
gtube,3,False,2,mode_based,9.97,632,9,54,503,66,0,3
pneumonia,2,True,3,high,68.94,615,51,373,190,1,0,2
l ankle injury,3,False,2,mode_based,7.63,603,0,46,330,226,1,3
r ear pain,3,False,2,mode_based,3.49,602,2,19,298,276,7,3
pain,3,False,2,mode_based,20.63,601,13,111,418,53,6,3
r wrist pain,3,False,2,mode_based,8.49,601,4,47,354,191,5,3
urinary frequency,3,False,2,mode_based,11.2,598,0,67,475,56,0,3
respiratory distress,2,True,3,high,97.64,594,419,161,14,0,0,1
r hand injury,3,False,2,mode_based,14.17,593,4,80,340,162,7,3
luq abdominal pain,3,False,2,mode_based,20.93,578,9,112,456,1,0,3
b leg swelling,3,False,2,moderate,36.33,578,6,204,358,10,0,3
sbo,2,True,3,high,44.56,570,14,240,316,0,0,3
hallucinations,2,True,3,high,81.08,555,8,442,105,0,0,2
chills,3,False,2,moderate,34.31,548,19,169,348,12,0,3
dog bite,3,False,2,mode_based,8.61,546,2,45,360,136,3,3
detox,3,False,2,mode_based,22.74,541,6,117,398,19,1,3
r hand pain,3,False,2,mode_based,9.18,534,4,45,336,147,2,3
head laceration,3,False,2,moderate,29.46,533,10,147,290,85,1,3
difficulty swallowing,2,True,3,high,49.44,532,13,250,266,3,0,3
l hand injury,3,False,2,mode_based,18.68,530,4,95,323,108,0,3
l wrist pain,3,False,2,mode_based,8.54,527,4,41,300,181,1,3
med refill,4,False,1,mode_based,4.63,518,1,23,170,217,107,4
l calf pain,3,False,2,mode_based,11.61,508,3,56,418,31,0,3
foot pain,3,False,2,mode_based,12.23,507,5,57,333,107,5,3
r weakness,2,True,3,high,90.51,506,138,320,46,2,0,2
rci,2,True,3,high,94.26,505,24,452,29,0,0,2
knee pain,3,False,2,mode_based,8.93,504,5,40,333,123,3,3
unresponsive,2,True,3,high,97.22,503,324,165,14,0,0,1
cellulitis,3,False,2,mode_based,16.84,493,6,77,399,10,1,3
s p motor vehicle collision,3,False,2,mode_based,17.04,487,21,62,324,79,1,3
l arm numbness,2,True,3,high,72.43,486,90,262,128,6,0,2
jaw pain,3,False,2,moderate,33.2,485,7,154,284,39,1,3
productive cough,3,False,2,moderate,36.75,468,6,166,285,11,0,3
suture removal,4,False,1,mode_based,0.22,456,1,0,23,298,134,4
low back pain,4,False,1,low,9.25,454,4,38,324,88,0,3
fall,2,True,3,high,44.97,447,38,163,229,17,0,3
substance misuse intoxication,3,False,2,mode_based,12.3,447,7,48,361,31,0,3
r rib pain,3,False,2,mode_based,22.42,446,4,96,308,38,0,3
dizzy,2,True,3,high,43.02,437,41,147,246,3,0,3
testicular pain,2,True,3,high,42.59,432,4,180,243,5,0,3
upper abdominal pain,3,False,2,mode_based,17.52,428,3,72,348,5,0,3
lower extremity pain,3,False,2,mode_based,8.2,427,8,27,322,69,1,3
pe,2,True,3,high,96.24,425,21,388,16,0,0,2
leg weakness,2,True,3,high,57.92,423,25,220,176,2,0,2
atrial fibrillation,2,True,3,high,87.17,421,73,294,54,0,0,2
l elbow pain,3,False,2,mode_based,7.36,421,1,30,307,79,4,3
nstemi,2,True,3,high,99.76,420,30,389,1,0,0,2
l rib pain,3,False,2,moderate,25.18,417,4,101,270,40,2,3
hi,2,True,3,high,97.34,413,5,397,11,0,0,2
urinary tract infection,3,False,2,mode_based,19.42,412,6,74,293,38,1,3
l hand pain,3,False,2,mode_based,11.58,406,2,45,277,82,0,3
throat foreign body sensation,3,False,2,moderate,36.57,402,9,138,248,7,0,3
ear pain,3,False,2,mode_based,6.73,401,4,23,254,115,5,3
vomiting and or nausea,3,False,2,mode_based,22.61,398,12,78,308,0,0,3
dehydration,3,False,2,moderate,31.36,389,14,108,263,4,0,3
shoulder pain,3,False,2,mode_based,23.51,387,4,87,253,42,1,3
vaginal pain,3,False,2,mode_based,7.51,386,1,28,309,46,2,3
r calf pain,3,False,2,mode_based,9.66,383,0,37,327,19,0,3
tremor,2,True,3,high,43.34,383,18,148,216,1,0,3
hip pain,3,False,2,mode_based,15.22,381,4,54,297,26,0,3
r elbow pain,3,False,2,mode_based,10.27,370,3,35,242,88,2,3
vision changes,2,True,3,high,76.9,368,113,170,82,3,0,2
elevated troponin,2,True,3,high,96.98,364,22,331,11,0,0,2
picc line,3,False,2,mode_based,11.29,363,4,37,272,50,0,3
found down,2,True,3,high,78.21,358,97,183,78,0,0,2
dvt,2,True,3,high,42.4,342,8,137,196,1,0,3
rib pain,3,False,2,moderate,27.41,332,13,78,207,33,1,3
b leg pain,3,False,2,mode_based,17.22,331,3,54,237,37,0,3
bicycle accident,2,True,3,high,42.15,325,51,86,171,17,0,3
l thumb laceration,4,False,1,mode_based,3.42,322,1,10,131,179,1,4
elevated d dimer,2,True,3,high,63.24,321,2,201,118,0,0,2
abnormal sodium level,2,True,3,high,73.83,321,14,223,84,0,0,2
vertigo,3,False,2,moderate,30.41,319,10,87,218,4,0,3
psychiatric hold,2,True,3,high,86.83,319,3,274,41,1,0,2
l wrist injury,3,False,2,mode_based,17.03,317,5,49,188,74,1,3
influenza like illness,3,False,2,mode_based,14.01,314,16,28,253,16,1,3
facial numbness,2,True,3,high,69.65,313,60,158,93,2,0,2
l arm swelling,3,False,2,moderate,32.26,310,5,95,204,6,0,3
eye pain,3,False,2,mode_based,20.45,308,5,58,165,80,0,3
l shoulder injury,3,False,2,moderate,34.1,305,0,104,178,23,0,3
l facial numbness,2,True,3,high,82.95,305,80,173,51,1,0,2
finger pain,4,False,1,mode_based,5.63,302,2,15,139,142,4,4
burn,3,False,2,moderate,25.25,301,5,71,159,65,1,3
r foot injury,3,False,2,mode_based,8.31,301,5,20,164,111,1,3
wheezing,2,True,3,high,54.33,300,25,138,132,5,0,2
rlq pain,3,False,2,mode_based,14.19,296,2,40,254,0,0,3
ah,2,True,3,high,85.03,294,3,247,44,0,0,2
depression suicidal deliberate self harm,2,True,3,high,93.2,294,0,274,19,1,0,2
paranoid delusion,2,True,3,high,84.3,293,3,244,46,0,0,2
cough congestion,3,False,2,mode_based,18.21,291,14,39,232,6,0,3
fevers,2,True,3,high,40.34,290,28,89,171,2,0,3
cat bite,3,False,2,mode_based,1.75,286,0,5,241,40,0,3
coffee ground emesis,2,True,3,high,90.18,285,21,236,28,0,0,2
abdo pain,3,False,2,mode_based,18.79,282,6,47,227,1,1,3
malaise,3,False,2,moderate,32.61,276,6,84,181,4,1,3
alcohol intoxication detox,3,False,2,moderate,33.45,275,3,89,177,6,0,3
psychosis,2,True,3,high,83.09,272,9,217,45,1,0,2
clotted fistula,3,False,2,mode_based,16.24,271,1,43,222,5,0,3
hives,3,False,2,moderate,30.97,268,11,72,136,49,0,3
r shoulder injury,3,False,2,moderate,31.84,267,3,82,150,32,0,3
s p assault,3,False,2,moderate,25.47,267,8,60,178,20,1,3
difficulty breathing,2,True,3,high,59.18,267,31,127,108,1,0,2
l foot injury,3,False,2,mode_based,5.28,265,3,11,155,94,2,3
r inguinal pain,3,False,2,mode_based,22.9,262,3,57,189,13,0,3
r knee injury,3,False,2,mode_based,9.2,261,0,24,160,77,0,3
syncope presyncope,2,True,3,high,61.78,259,23,137,98,1,0,2
neck swelling,2,True,3,high,64.98,257,19,148,82,8,0,2
l knee injury,3,False,2,mode_based,7.45,255,2,17,159,77,0,3
facial droop,2,True,3,high,87.4,254,79,143,32,0,0,2
lower extremity injury,3,False,2,mode_based,9.49,253,2,22,153,75,1,3
r arm numbness,2,True,3,high,70.12,251,43,133,72,3,0,2
insect bite,3,False,2,mode_based,3.59,251,0,9,121,113,8,3
r arm swelling,3,False,2,mode_based,22.0,250,5,50,185,10,0,3
aphasia,2,True,3,high,94.74,247,81,153,13,0,0,2
facial pain,3,False,2,mode_based,13.47,245,3,30,182,30,0,3
l hand laceration,3,False,2,mode_based,10.2,245,1,24,129,91,0,3
r hand swelling,3,False,2,mode_based,13.17,243,3,29,195,16,0,3
appendicitis,3,False,2,moderate,30.13,239,2,70,167,0,0,3
left sided abdominal pain,3,False,2,mode_based,15.13,238,2,34,200,2,0,3
chest pain noncardiac features,2,True,3,high,41.77,237,6,93,137,1,0,3
s p seizure,2,True,3,high,58.19,232,21,114,97,0,0,2
urinary incontinence,2,True,3,high,74.67,229,22,149,55,3,0,2
cardiac arrest,2,True,3,high,100.0,228,219,9,0,0,0,1
r facial numbness,2,True,3,high,78.76,226,47,131,47,1,0,2
l leg injury,3,False,2,moderate,25.0,224,3,53,148,20,0,3
l chest pain,2,True,3,high,48.17,218,3,102,108,5,0,3
upper back pain,3,False,2,mode_based,21.3,216,4,42,131,39,0,3
r foot swelling,3,False,2,mode_based,13.02,215,2,26,179,8,0,3
arm pain,3,False,2,moderate,29.3,215,3,60,131,21,0,3
upper extremity injury,3,False,2,mode_based,18.31,213,1,38,131,43,0,3
pancreatitis,3,False,2,moderate,25.47,212,4,50,158,0,0,3
l numbness,2,True,3,high,77.83,212,53,112,47,0,0,2
neuro,2,True,3,high,55.19,212,21,96,95,0,0,2
lip laceration,3,False,2,mode_based,9.0,211,0,19,133,59,0,3
finger swelling,3,False,2,mode_based,3.81,210,0,8,122,78,2,3
left flank pain,3,False,2,mode_based,15.87,208,0,33,174,1,0,3
pneumothorax,2,True,3,high,96.15,208,10,190,8,0,0,2
r wrist injury,3,False,2,mode_based,8.74,206,1,17,150,37,1,3
mouth pain,3,False,2,mode_based,12.62,206,1,25,133,44,3,3
leg numbness,2,True,3,high,53.66,205,10,100,95,0,0,2
l foot swelling,3,False,2,mode_based,7.32,205,2,13,177,13,0,3
lip swelling,2,True,3,high,67.33,202,33,103,53,11,2,2
abnormal lab values,2,True,3,high,51.74,201,6,98,97,0,0,2
facial injury,3,False,2,moderate,34.0,200,7,61,123,9,0,3
vaginal discharge,3,False,2,mode_based,4.57,197,0,9,156,32,0,3
alcohol withdrawal,2,True,3,high,63.96,197,6,120,71,0,0,2
l leg numbness,2,True,3,high,49.23,195,19,77,95,4,0,3
r hip fracture,2,True,3,high,41.24,194,3,77,114,0,0,3
r leg injury,3,False,2,moderate,28.87,194,3,53,118,20,0,3
l facial droop,2,True,3,high,87.63,194,48,122,24,0,0,2
traumatic back spine injury,3,False,2,mode_based,11.86,194,3,20,139,32,0,3
l hip fracture,2,True,3,high,41.45,193,4,76,113,0,0,3
st,3,False,2,mode_based,6.22,193,3,9,121,60,0,3
anorexia,2,True,3,high,47.67,193,9,83,101,0,0,3
insomnia,3,False,2,mode_based,19.27,192,1,36,133,20,2,3
l hand swelling,3,False,2,mode_based,13.02,192,1,24,157,10,0,3
l inguinal pain,3,False,2,mode_based,19.37,191,1,36,144,9,1,3
sinus pain,3,False,2,mode_based,4.19,191,0,8,119,62,2,3
suprapubic pain,3,False,2,mode_based,9.47,190,0,18,168,4,0,3
hand injury,3,False,2,moderate,28.04,189,4,49,104,30,2,3
hypokalemia,2,True,3,high,66.14,189,6,119,64,0,0,2
c spine fracture,2,True,3,high,91.49,188,18,154,16,0,0,2
unknown cc,2,True,3,high,54.01,187,38,63,66,16,4,3
positive blood cultures,2,True,3,high,41.94,186,2,76,108,0,0,3
motorcycle accident,2,True,3,high,77.84,185,89,55,40,1,0,1
rectal bleeding,2,True,3,high,59.24,184,7,102,75,0,0,2
aaa,2,True,3,high,97.25,182,51,126,5,0,0,2
clogged foley,3,False,2,mode_based,6.59,182,1,11,155,14,1,3
upper extremity pain,3,False,2,mode_based,12.15,181,1,21,129,30,0,3
r chest pain,3,False,2,moderate,34.25,181,1,61,115,4,0,3
right flank pain,3,False,2,mode_based,8.89,180,1,15,164,0,0,3
mania,2,True,3,high,80.0,180,4,140,35,1,0,2
l testicular pain,2,True,3,high,45.81,179,1,81,90,7,0,3
r hand laceration,3,False,2,mode_based,10.61,179,3,16,104,55,1,3
r testicular pain,2,True,3,high,51.7,176,2,89,83,2,0,2
buttock pain,3,False,2,mode_based,9.71,175,2,15,134,24,0,3
ruq pain,3,False,2,mode_based,13.14,175,3,20,152,0,0,3
hand laceration,4,False,1,mode_based,9.77,174,1,16,77,78,2,4
wound check,3,False,2,mode_based,8.09,173,4,10,97,56,6,3
penile pain,3,False,2,mode_based,13.95,172,2,22,118,30,0,3
r thumb injury,3,False,2,mode_based,10.47,172,0,18,81,72,1,3
food bolus,2,True,3,high,54.39,171,3,90,78,0,0,2
needlestick,2,True,3,high,54.97,171,5,89,53,23,1,2
right knee pain,3,False,2,mode_based,1.2,167,0,2,116,48,1,3
sickle cell crisis,3,False,2,moderate,37.2,164,1,60,103,0,0,3
l finger injury,3,False,2,mode_based,12.27,163,1,19,90,52,1,3
labor,2,True,3,high,95.71,163,25,131,7,0,0,2
head bleed,2,True,3,high,96.91,162,37,120,5,0,0,2
left leg pain,3,False,2,mode_based,9.94,161,2,14,134,10,1,3
near syncope,2,True,3,high,51.55,161,7,76,77,1,0,3
kidney stone,3,False,2,mode_based,19.88,161,2,30,128,1,0,3
abnl labs,2,True,3,high,55.28,161,10,79,72,0,0,2
suicide attempt,2,True,3,high,98.12,160,17,140,3,0,0,2
migraine,3,False,2,mode_based,12.58,159,2,18,136,3,0,3
r finger injury,3,False,2,mode_based,9.55,157,0,15,86,54,2,3
rabies vaccine,4,False,1,mode_based,1.27,157,0,2,19,120,16,4
c p,2,True,3,high,92.99,157,2,144,11,0,0,2
l thumb injury,3,False,2,mode_based,6.49,154,0,10,88,54,2,3
inguinal pain,3,False,2,mode_based,22.73,154,2,33,111,8,0,3
r thumb laceration,3,False,2,mode_based,3.92,153,0,6,74,73,0,3
l breast pain,3,False,2,mode_based,8.67,150,1,12,125,12,0,3
r facial droop,2,True,3,high,87.92,149,33,98,18,0,0,2
myalgia,3,False,2,mode_based,14.09,149,2,19,122,6,0,3
femur fracture,2,True,3,high,56.16,146,4,78,64,0,0,2
breast pain,3,False,2,mode_based,8.22,146,0,12,119,15,0,3
llq pain,3,False,2,mode_based,14.48,145,1,20,124,0,0,3
palpitations irregular heart beat,2,True,3,high,60.42,144,23,64,57,0,0,2
pedal edema,2,True,3,high,58.74,143,4,80,58,1,0,2
gib,2,True,3,high,92.31,143,21,111,11,0,0,2
ms changes,2,True,3,high,85.31,143,44,78,21,0,0,2
od,2,True,3,high,94.41,143,41,94,8,0,0,2
eye redness,4,False,1,mode_based,3.52,142,1,4,60,69,8,4
exposure,2,True,3,high,52.11,142,6,68,47,20,1,2
vag bleeding,3,False,2,mode_based,23.4,141,3,30,107,1,0,3
l hand numbness,2,True,3,high,59.29,140,13,70,50,7,0,2
pleuritic chest pain,3,False,2,moderate,37.14,140,2,50,87,1,0,3
left knee pain,3,False,2,mode_based,4.32,139,2,4,91,42,0,3
r leg numbness,2,True,3,high,54.68,139,8,68,60,3,0,2
altered ms,2,True,3,high,85.61,139,64,55,20,0,0,1
htn,2,True,3,high,43.48,138,4,56,78,0,0,3
r knee swelling,3,False,2,mode_based,8.7,138,0,12,109,17,0,3
hip fracture,2,True,3,high,45.26,137,4,58,75,0,0,3
left sided chest pain,2,True,3,high,47.79,136,1,64,70,1,0,3
r leg redness,3,False,2,mode_based,7.52,133,1,9,122,1,0,3
swelling,3,False,2,mode_based,17.29,133,3,20,103,7,0,3
blood in stool melena,2,True,3,high,73.48,132,4,93,35,0,0,2
jtube,3,False,2,mode_based,7.63,131,1,9,110,10,1,3
hand pain,3,False,2,mode_based,9.92,131,1,12,86,31,1,3
ekg changes,2,True,3,high,89.31,131,14,103,14,0,0,2
elevated wbc,2,True,3,high,59.54,131,5,73,52,1,0,2
stemi,2,True,3,high,100.0,130,120,10,0,0,0,1
ftt,3,False,2,moderate,32.31,130,8,34,88,0,0,3
l finger laceration,4,False,1,mode_based,4.62,130,0,6,54,70,0,4
tongue swelling,2,True,3,high,84.38,128,45,63,19,1,0,2
multiple complaints,3,False,2,mode_based,12.6,127,2,14,105,6,0,3
hyponatremia,2,True,3,high,68.25,126,3,83,40,0,0,2
right leg pain,3,False,2,mode_based,12.8,125,2,14,96,13,0,3
human bite,3,False,2,mode_based,16.8,125,1,20,70,33,1,3
abnormal ultrasound,2,True,3,high,40.0,125,0,50,75,0,0,3
abnormal xray,2,True,3,high,40.65,123,1,49,68,5,0,3
arm numbness,2,True,3,high,59.02,122,20,52,48,2,0,2
r eye swelling,3,False,2,mode_based,19.01,121,0,23,64,33,1,3
l facial swelling,3,False,2,mode_based,20.66,121,3,22,87,9,0,3
right sided chest pain,3,False,2,moderate,37.5,120,1,44,75,0,0,3
l leg redness,3,False,2,mode_based,10.0,120,1,11,106,2,0,3
ataxia,2,True,3,high,68.91,119,15,67,37,0,0,2
urinary tract infection complaints,3,False,2,mode_based,7.56,119,2,7,91,19,0,3
stab wound,2,True,3,high,91.6,119,79,30,10,0,0,1
b foot pain,3,False,2,mode_based,10.17,118,1,11,82,24,0,3
r neck pain,3,False,2,mode_based,18.64,118,1,21,75,21,0,3
laceration puncture,3,False,2,mode_based,4.24,118,0,5,62,50,1,3
requesting detox,3,False,2,mode_based,12.71,118,2,13,99,4,0,3
l arm weakness,2,True,3,high,75.21,117,25,63,28,1,0,2
chest tightness,2,True,3,high,63.25,117,2,72,43,0,0,2
l eye swelling,3,False,2,mode_based,17.09,117,1,19,58,38,1,3
weak,2,True,3,high,49.14,116,11,46,58,1,0,3
dka,2,True,3,high,94.83,116,18,92,6,0,0,2
altered level consciousness,2,True,3,high,92.17,115,48,58,9,0,0,2
l knee swelling,3,False,2,mode_based,5.26,114,0,6,101,7,0,3
r breast pain,3,False,2,mode_based,3.54,113,0,4,94,15,0,3
right foot pain,3,False,2,mode_based,5.31,113,1,5,64,43,0,3
l femur fracture,2,True,3,high,61.06,113,4,65,44,0,0,2
l arm injury,3,False,2,mode_based,23.21,112,1,25,73,13,0,3
difficulty ambulating,3,False,2,mode_based,18.02,111,3,17,84,6,1,3
left arm pain,3,False,2,moderate,25.45,110,1,27,75,7,0,3
nasal injury,3,False,2,mode_based,9.09,110,0,10,70,30,0,3
palpatations,2,True,3,high,54.13,109,14,45,50,0,0,3
ankle pain,3,False,2,mode_based,4.59,109,0,5,66,37,1,3
l neck pain,3,False,2,mode_based,13.76,109,0,15,74,20,0,3
general weakness,2,True,3,high,53.21,109,9,49,51,0,0,3
r eye,3,False,2,mode_based,24.07,108,0,26,50,29,3,3
elevated inr,2,True,3,high,67.29,107,3,69,35,0,0,2
nausea vomiting abdominal pain,3,False,2,mode_based,23.58,106,4,21,81,0,0,3
left shoulder pain,3,False,2,mode_based,15.24,105,2,14,70,19,0,3
eye,3,False,2,mode_based,19.23,104,0,20,46,37,1,3
r femur fracture,2,True,3,high,56.31,103,3,55,45,0,0,2
