index,keyword_text,esi_1_count,esi_2_count,esi_3_count,esi_4_count,esi_5_count,sample_size,haf,mode_esi_raw,base_esi,is_red_flag,risk_tier,resource_estimate,high_acuity_pct
12637,neck pain,66,928,2695,470,2,4161,0.2388848834414804,3,3,False,mode_based,2,23.89
2710,brbpr,119,2568,1449,5,0,4141,0.6488770828302343,2,2,True,high,3,64.89
20858,vomiting,142,1166,2799,20,0,4127,0.31693724254906713,3,3,False,moderate,2,31.69
4466,diarrhea,85,699,3196,18,1,3999,0.19604901225306326,3,3,False,mode_based,2,19.6
18401,seizure,454,2143,1253,0,0,3850,0.6745454545454546,2,2,True,high,3,67.45
16029,rash,46,358,2021,952,26,3403,0.11871877754922128,3,3,False,mode_based,2,11.87
5104,dysuria,23,245,2596,470,2,3336,0.0803357314148681,3,3,False,mode_based,2,8.03
7381,head injury,132,1038,1708,267,3,3148,0.37166454891994916,3,3,False,moderate,2,37.17
1175,anxiety,47,861,2025,114,3,3050,0.29770491803278687,3,3,False,moderate,2,29.77
17408,rlq abdominal pain,21,380,2579,7,0,2987,0.1342484097756947,3,3,False,mode_based,2,13.42
7784,hematuria,32,490,2080,83,1,2686,0.19434102755026061,3,3,False,mode_based,2,19.43
20317,unable ambulate,34,588,1906,69,0,2597,0.23950712360415866,3,3,False,mode_based,2,23.95
15055,r flank pain,21,358,2165,26,0,2570,0.14747081712062257,3,3,False,mode_based,2,14.75
8111,hypertension,38,1075,1402,29,1,2545,0.43732809430255404,3,2,True,high,3,43.73
988,allergic reaction,506,1281,674,63,2,2526,0.7074425969912905,2,2,True,high,3,70.74
20697,vaginal bleeding,26,769,1703,13,0,2511,0.31660692951015534,3,3,False,moderate,2,31.66
18553,shortness breath,391,1283,773,1,0,2448,0.6838235294117647,2,2,True,high,3,68.38
3900,confusion,253,1573,614,7,0,2447,0.7462198610543522,2,2,True,high,3,74.62
8078,hyperglycemia,73,1511,793,4,0,2381,0.6652666946661067,2,2,True,high,3,66.53
5371,epigastric pain,24,644,1645,10,0,2323,0.28755919070167885,3,3,False,moderate,2,28.76
8169,hypotension,1061,1034,214,1,0,2310,0.9069264069264069,1,2,True,high,3,90.69
9309,l flank pain,13,337,1939,19,1,2309,0.151580770896492,3,3,False,mode_based,2,15.16
14496,pregnant,35,794,1434,27,3,2293,0.3615351068469254,3,3,False,moderate,2,36.15
9531,l leg pain,34,380,1610,199,2,2225,0.18606741573033708,3,3,False,mode_based,2,18.61
4359,depression,14,1484,709,10,1,2218,0.6753832281334535,2,2,True,high,3,67.54
15355,r leg pain,21,310,1534,204,1,2070,0.15990338164251208,3,3,False,mode_based,2,15.99
19684,tachycardia,1030,829,203,1,0,2063,0.9011148812409113,1,2,True,high,3,90.11
17603,ruq abdominal pain,15,333,1710,3,0,2061,0.16885007278020378,3,3,False,mode_based,2,16.89
15292,r knee pain,6,81,1325,611,3,2026,0.042941757156959526,3,3,False,mode_based,2,4.29
11566,lower abdominal pain,14,289,1697,17,0,2017,0.1502231036192365,3,3,False,mode_based,2,15.02
9485,l knee pain,9,89,1279,609,4,1990,0.04924623115577889,3,3,False,mode_based,2,4.92
11229,lightheaded,88,770,1062,14,0,1934,0.4436401240951396,3,2,True,high,3,44.36
1363,assault,77,548,1136,142,1,1904,0.3282563025210084,3,3,False,moderate,2,32.83
5070,dyspnea on exertion,63,1266,551,1,0,1881,0.7065390749601276,2,2,True,high,3,70.65
14525,presyncope,58,862,921,0,0,1841,0.4997284084736556,3,2,True,high,3,49.97
20552,urinary retention,29,446,1302,23,0,1800,0.2638888888888889,3,3,False,moderate,2,26.39
9878,laceration,33,286,1033,427,9,1788,0.1784116331096197,3,3,False,mode_based,2,17.84
11345,llq abdominal pain,18,238,1500,1,0,1757,0.14570290267501423,3,3,False,mode_based,2,14.57
14572,psych,25,1264,451,3,1,1744,0.739105504587156,2,2,True,high,3,73.91
15103,r foot pain,26,147,1004,451,12,1640,0.10548780487804878,3,3,False,mode_based,2,10.55
20809,visual changes,177,993,443,14,0,1627,0.7191149354640443,2,2,True,high,3,71.91
549,abnormal ct,42,1028,540,1,0,1611,0.6641837368094351,2,2,True,high,3,66.42
15746,r shoulder pain,12,232,1056,297,0,1597,0.1527864746399499,3,3,False,mode_based,2,15.28
1097,anemia,59,1205,332,0,0,1596,0.7919799498746867,2,2,True,high,3,79.2
9050,l arm pain,11,464,976,139,0,1590,0.29874213836477986,3,3,False,moderate,2,29.87
3954,constipation,7,173,1339,35,0,1554,0.11583011583011583,3,3,False,mode_based,2,11.58
9336,l foot pain,23,123,965,431,11,1553,0.09401159047005796,3,3,False,mode_based,2,9.4
9660,l shoulder pain,10,302,960,212,5,1489,0.20953660174613833,3,3,False,mode_based,2,20.95
11109,leg swelling,26,637,813,11,0,1487,0.44586415601882984,3,2,True,high,3,44.59
188,abdominal distention,35,609,805,5,0,1454,0.44291609353507566,3,2,True,high,3,44.29
11174,lethargy,162,895,375,5,0,1437,0.7355601948503827,2,2,True,high,3,73.56
8208,hypoxia,574,743,76,0,0,1393,0.9454414931801867,2,2,True,high,3,94.54
9449,l hip pain,11,251,980,114,2,1358,0.19293078055964655,3,3,False,mode_based,2,19.29
6425,finger laceration,3,33,520,773,17,1346,0.02674591381872214,4,4,False,mode_based,1,2.67
15246,r hip pain,14,251,947,117,1,1330,0.19924812030075187,3,3,False,mode_based,2,19.92
671,abscess,13,226,1003,69,1,1312,0.18216463414634146,3,3,False,mode_based,2,18.22
1394,asthma exacerbation,70,352,833,19,0,1274,0.33124018838304553,3,3,False,moderate,2,33.12
5415,epistaxis,16,302,841,95,1,1255,0.25338645418326694,3,3,False,moderate,2,25.34
5946,fatigue,27,497,700,16,2,1242,0.4219001610305958,3,2,True,high,3,42.19
16159,rectal pain,18,123,1012,80,1,1234,0.11426256077795786,3,3,False,mode_based,2,11.43
13441,overdose,184,889,144,2,0,1219,0.8802296964725185,2,2,True,high,3,88.02
19228,substance use,46,452,676,37,1,1212,0.41089108910891087,3,2,True,high,3,41.09
14817,r arm pain,19,195,776,170,2,1162,0.18416523235800344,3,3,False,mode_based,2,18.42
4348,dental pain,5,53,563,452,22,1095,0.052968036529680365,3,3,False,mode_based,2,5.3
18368,sdh,113,938,28,0,0,1079,0.974050046339203,2,2,True,high,3,97.41
17242,right sided abdominal pain,4,153,907,2,0,1066,0.1472795497185741,3,3,False,mode_based,2,14.73
11977,melena,21,783,257,0,0,1061,0.7577756833176249,2,2,True,high,3,75.78
11088,leg pain,20,164,783,91,0,1058,0.17391304347826086,3,3,False,mode_based,2,17.39
8143,hypoglycemia,133,579,315,2,1,1030,0.6912621359223301,2,2,True,high,3,69.13
18820,slurred speech,316,604,74,0,0,994,0.9255533199195171,2,2,True,high,3,92.56
6514,flank pain,11,164,784,10,0,969,0.18059855521155832,3,3,False,mode_based,2,18.06
14776,r ankle pain,3,28,514,408,1,954,0.03249475890985325,3,3,False,mode_based,2,3.25
13953,pelvic pain,9,110,799,20,0,938,0.12686567164179105,3,3,False,mode_based,2,12.69
19973,toe pain,4,52,484,372,10,922,0.06073752711496746,3,3,False,mode_based,2,6.07
8850,jaundice,34,444,427,1,0,906,0.5275938189845475,2,2,True,high,3,52.76
9012,l ankle pain,2,40,466,392,3,903,0.046511627906976744,3,3,False,mode_based,2,4.65
20430,unsteady gait,70,419,393,13,0,895,0.5463687150837989,2,2,True,high,3,54.64
8258,ich,292,594,9,0,0,895,0.9899441340782122,2,2,True,high,3,98.99
5731,facial swelling,51,274,521,36,1,883,0.36806342015855037,3,3,False,moderate,2,36.81
564,abnormal ekg,67,708,91,2,0,868,0.8928571428571429,2,2,True,high,3,89.29
3345,chest pain cardiac features,31,639,172,0,0,842,0.7957244655581948,2,2,True,high,3,79.57
9227,l eye pain,11,115,436,264,5,831,0.15162454873646208,3,3,False,mode_based,2,15.16
14972,r eye pain,4,146,444,229,4,827,0.18137847642079807,3,3,False,mode_based,2,18.14
18282,sah,142,666,17,0,0,825,0.9793939393939394,2,2,True,high,3,97.94
2680,bradycardia,307,467,49,1,0,824,0.9393203883495146,2,2,True,high,3,93.93
833,agitation,41,583,189,4,0,817,0.7637698898408812,2,2,True,high,3,76.38
7763,hematemesis,70,545,198,0,0,813,0.7564575645756457,2,2,True,high,3,75.65
2613,body pain,13,134,592,45,0,784,0.1875,3,3,False,mode_based,2,18.75
7841,hemoptysis,43,452,282,3,0,780,0.6346153846153846,2,2,True,high,3,63.46
9545,l leg swelling,6,161,590,8,0,765,0.21830065359477124,3,3,False,mode_based,2,21.83
14774,r ankle injury,8,60,421,272,2,763,0.0891218872870249,3,3,False,mode_based,2,8.91
619,abnormal mri,18,503,237,1,0,759,0.686429512516469,2,2,True,high,3,68.64
13913,ped struck,223,213,285,28,1,750,0.5813333333333334,3,2,True,high,3,58.13
13187,numbness,88,349,288,9,0,734,0.5953678474114441,2,2,True,high,3,59.54
2587,body aches,15,106,571,23,0,715,0.16923076923076924,3,3,False,mode_based,2,16.92
15373,r leg swelling,7,141,557,10,0,715,0.206993006993007,3,3,False,mode_based,2,20.7
4154,cva,417,292,3,0,1,713,0.9943899018232819,1,2,True,high,3,99.44
9180,l ear pain,0,21,333,329,7,690,0.030434782608695653,3,3,False,mode_based,2,3.04
6420,finger injury,1,87,340,255,5,688,0.12790697674418605,3,3,False,mode_based,2,12.79
9810,l weakness,226,392,52,1,0,671,0.9210134128166915,2,2,True,high,3,92.1
5761,failure thrive,18,289,351,8,0,666,0.46096096096096095,3,2,True,high,3,46.1
7006,gastrointestinal bleeding,119,513,23,0,0,655,0.9648854961832061,2,2,True,high,3,96.49
8103,hyperkalemia,12,518,110,0,0,640,0.828125,2,2,True,high,3,82.81
7177,gtube,9,54,503,66,0,632,0.09968354430379747,3,3,False,mode_based,2,9.97
14200,pneumonia,51,373,190,1,0,615,0.6894308943089431,2,2,True,high,3,68.94
9011,l ankle injury,0,46,330,226,1,603,0.07628524046434494,3,3,False,mode_based,2,7.63
14922,r ear pain,2,19,298,276,7,602,0.03488372093023256,3,3,False,mode_based,2,3.49
13473,pain,13,111,418,53,6,601,0.20632279534109818,3,3,False,mode_based,2,20.63
15954,r wrist pain,4,47,354,191,5,601,0.08485856905158069,3,3,False,mode_based,2,8.49
20536,urinary frequency,0,67,475,56,0,598,0.11204013377926421,3,3,False,mode_based,2,11.2
16495,respiratory distress,419,161,14,0,0,594,0.9764309764309764,1,2,True,high,3,97.64
15191,r hand injury,4,80,340,162,7,593,0.14165261382799327,3,3,False,mode_based,2,14.17
11788,luq abdominal pain,9,112,456,1,0,578,0.2093425605536332,3,3,False,mode_based,2,20.93
1562,b leg swelling,6,204,358,10,0,578,0.3633217993079585,3,3,False,moderate,2,36.33
18299,sbo,14,240,316,0,0,570,0.4456140350877193,3,2,True,high,3,44.56
7235,hallucinations,8,442,105,0,0,555,0.8108108108108109,2,2,True,high,3,81.08
3577,chills,19,169,348,12,0,548,0.34306569343065696,3,3,False,moderate,2,34.31
4902,dog bite,2,45,360,136,3,546,0.08608058608058608,3,3,False,mode_based,2,8.61
4393,detox,6,117,398,19,1,541,0.22735674676524953,3,3,False,mode_based,2,22.74
15199,r hand pain,4,45,336,147,2,534,0.09176029962546817,3,3,False,mode_based,2,9.18
7402,head laceration,10,147,290,85,1,533,0.2945590994371482,3,3,False,moderate,2,29.46
4556,difficulty swallowing,13,250,266,3,0,532,0.4943609022556391,3,2,True,high,3,49.44
9399,l hand injury,4,95,323,108,0,530,0.18679245283018867,3,3,False,mode_based,2,18.68
9822,l wrist pain,4,41,300,181,1,527,0.08538899430740038,3,3,False,mode_based,2,8.54
11923,med refill,1,23,170,217,107,518,0.04633204633204633,4,4,False,mode_based,1,4.63
9127,l calf pain,3,56,418,31,0,508,0.11614173228346457,3,3,False,mode_based,2,11.61
6627,foot pain,5,57,333,107,5,507,0.1222879684418146,3,3,False,mode_based,2,12.23
15936,r weakness,138,320,46,2,0,506,0.9051383399209486,2,2,True,high,3,90.51
16094,rci,24,452,29,0,0,505,0.9425742574257425,2,2,True,high,3,94.26
8965,knee pain,5,40,333,123,3,504,0.08928571428571429,3,3,False,mode_based,2,8.93
20404,unresponsive,324,165,14,0,0,503,0.9721669980119284,1,2,True,high,3,97.22
3137,cellulitis,6,77,399,10,1,493,0.16835699797160245,3,3,False,mode_based,2,16.84
18061,s p motor vehicle collision,21,62,324,79,1,487,0.1704312114989733,3,3,False,mode_based,2,17.04
9048,l arm numbness,90,262,128,6,0,486,0.7242798353909465,2,2,True,high,3,72.43
8874,jaw pain,7,154,284,39,1,485,0.3319587628865979,3,3,False,moderate,2,33.2
14538,productive cough,6,166,285,11,0,468,0.36752136752136755,3,3,False,moderate,2,36.75
19388,suture removal,1,0,23,298,134,456,0.0021929824561403508,4,4,False,mode_based,1,0.22
11433,low back pain,4,38,324,88,0,454,0.09251101321585903,3,3,False,mode_based,2,9.25
5766,fall,38,163,229,17,0,447,0.44966442953020136,3,2,True,high,3,44.97
19223,substance misuse intoxication,7,48,361,31,0,447,0.12304250559284116,3,3,False,mode_based,2,12.3
15719,r rib pain,4,96,308,38,0,446,0.2242152466367713,3,3,False,mode_based,2,22.42
4784,dizzy,41,147,246,3,0,437,0.4302059496567506,3,2,True,high,3,43.02
19745,testicular pain,4,180,243,5,0,432,0.42592592592592593,3,2,True,high,3,42.59
20463,upper abdominal pain,3,72,348,5,0,428,0.17523364485981308,3,3,False,mode_based,2,17.52
11613,lower extremity pain,8,27,322,69,1,427,0.08196721311475409,3,3,False,mode_based,2,8.2
13899,pe,21,388,16,0,0,425,0.9623529411764706,2,2,True,high,3,96.24
11122,leg weakness,25,220,176,2,0,423,0.5791962174940898,2,2,True,high,3,57.92
1432,atrial fibrillation,73,294,54,0,0,421,0.8717339667458432,2,2,True,high,3,87.17
9199,l elbow pain,1,30,307,79,4,421,0.07363420427553444,3,3,False,mode_based,2,7.36
13157,nstemi,30,389,1,0,0,420,0.9976190476190476,2,2,True,high,3,99.76
9621,l rib pain,4,101,270,40,2,417,0.2517985611510791,3,3,False,moderate,2,25.18
7901,hi,5,397,11,0,0,413,0.9733656174334141,2,2,True,high,3,97.34
20566,urinary tract infection,6,74,293,38,1,412,0.1941747572815534,3,3,False,mode_based,2,19.42
9407,l hand pain,2,45,277,82,0,406,0.11576354679802955,3,3,False,mode_based,2,11.58
19807,throat foreign body sensation,9,138,248,7,0,402,0.3656716417910448,3,3,False,moderate,2,36.57
5145,ear pain,4,23,254,115,5,401,0.06733167082294264,3,3,False,mode_based,2,6.73
20864,vomiting and or nausea,12,78,308,0,0,398,0.22613065326633167,3,3,False,mode_based,2,22.61
4312,dehydration,14,108,263,4,0,389,0.31362467866323906,3,3,False,moderate,2,31.36
18713,shoulder pain,4,87,253,42,1,387,0.2351421188630491,3,3,False,mode_based,2,23.51
20724,vaginal pain,1,28,309,46,2,386,0.07512953367875648,3,3,False,mode_based,2,7.51
14875,r calf pain,0,37,327,19,0,383,0.09660574412532637,3,3,False,mode_based,2,9.66
20179,tremor,18,148,216,1,0,383,0.43342036553524804,3,2,True,high,3,43.34
7976,hip pain,4,54,297,26,0,381,0.15223097112860892,3,3,False,mode_based,2,15.22
14941,r elbow pain,3,35,242,88,2,370,0.10270270270270271,3,3,False,mode_based,2,10.27
20792,vision changes,113,170,82,3,0,368,0.7690217391304348,2,2,True,high,3,76.9
5311,elevated troponin,22,331,11,0,0,364,0.9697802197802198,2,2,True,high,3,96.98
14103,picc line,4,37,272,50,0,363,0.11294765840220386,3,3,False,mode_based,2,11.29
6775,found down,97,183,78,0,0,358,0.7821229050279329,2,2,True,high,3,78.21
5004,dvt,8,137,196,1,0,342,0.4239766081871345,3,2,True,high,3,42.4
16540,rib pain,13,78,207,33,1,332,0.2740963855421687,3,3,False,moderate,2,27.41
1559,b leg pain,3,54,237,37,0,331,0.17220543806646527,3,3,False,mode_based,2,17.22
1798,bicycle accident,51,86,171,17,0,325,0.42153846153846153,3,2,True,high,3,42.15
9767,l thumb laceration,1,10,131,179,1,322,0.034161490683229816,4,4,False,mode_based,1,3.42
5280,elevated d dimer,2,201,118,0,0,321,0.632398753894081,2,2,True,high,3,63.24
630,abnormal sodium level,14,223,84,0,0,321,0.7383177570093458,2,2,True,high,3,73.83
20770,vertigo,10,87,218,4,0,319,0.30407523510971785,3,3,False,moderate,2,30.41
14600,psychiatric hold,3,274,41,1,0,319,0.8683385579937304,2,2,True,high,3,86.83
9819,l wrist injury,5,49,188,74,1,317,0.17034700315457413,3,3,False,mode_based,2,17.03
8572,influenza like illness,16,28,253,16,1,314,0.14012738853503184,3,3,False,mode_based,2,14.01
5707,facial numbness,60,158,93,2,0,313,0.6964856230031949,2,2,True,high,3,69.65
9063,l arm swelling,5,95,204,6,0,310,0.3225806451612903,3,3,False,moderate,2,32.26
5585,eye pain,5,58,165,80,0,308,0.20454545454545456,3,3,False,mode_based,2,20.45
9656,l shoulder injury,0,104,178,23,0,305,0.34098360655737703,3,3,False,moderate,2,34.1
9267,l facial numbness,80,173,51,1,0,305,0.8295081967213115,2,2,True,high,3,82.95
6435,finger pain,2,15,139,142,4,302,0.056291390728476824,4,4,False,mode_based,1,5.63
2808,burn,5,71,159,65,1,301,0.25249169435215946,3,3,False,moderate,2,25.25
15093,r foot injury,5,20,164,111,1,301,0.08305647840531562,3,3,False,mode_based,2,8.31
21170,wheezing,25,138,132,5,0,300,0.5433333333333333,2,2,True,high,3,54.33
17420,rlq pain,2,40,254,0,0,296,0.14189189189189189,3,3,False,mode_based,2,14.19
4376,depression suicidal deliberate self harm,0,274,19,1,0,294,0.9319727891156463,2,2,True,high,3,93.2
842,ah,3,247,44,0,0,294,0.8503401360544217,2,2,True,high,3,85.03
13825,paranoid delusion,3,244,46,0,0,293,0.8430034129692833,2,2,True,high,3,84.3
4019,cough congestion,14,39,232,6,0,291,0.18213058419243985,3,3,False,mode_based,2,18.21
6361,fevers,28,89,171,2,0,290,0.40344827586206894,3,2,True,high,3,40.34
3084,cat bite,0,5,241,40,0,286,0.017482517482517484,3,3,False,mode_based,2,1.75
3764,coffee ground emesis,21,236,28,0,0,285,0.9017543859649123,2,2,True,high,3,90.18
141,abdo pain,6,47,227,1,1,282,0.1879432624113475,3,3,False,mode_based,2,18.79
11816,malaise,6,84,181,4,1,276,0.32608695652173914,3,3,False,moderate,2,32.61
893,alcohol intoxication detox,3,89,177,6,0,275,0.33454545454545453,3,3,False,moderate,2,33.45
14601,psychosis,9,217,45,1,0,272,0.8308823529411765,2,2,True,high,3,83.09
3728,clotted fistula,1,43,222,5,0,271,0.16236162361623616,3,3,False,mode_based,2,16.24
7992,hives,11,72,136,49,0,268,0.30970149253731344,3,3,False,moderate,2,30.97
15741,r shoulder injury,3,82,150,32,0,267,0.31835205992509363,3,3,False,moderate,2,31.84
17680,s p assault,8,60,178,20,1,267,0.2546816479400749,3,3,False,moderate,2,25.47
4544,difficulty breathing,31,127,108,1,0,267,0.5917602996254682,2,2,True,high,3,59.18
9330,l foot injury,3,11,155,94,2,265,0.052830188679245285,3,3,False,mode_based,2,5.28
15267,r inguinal pain,3,57,189,13,0,262,0.22900763358778625,3,3,False,mode_based,2,22.9
15286,r knee injury,0,24,160,77,0,261,0.09195402298850575,3,3,False,mode_based,2,9.2
19615,syncope presyncope,23,137,98,1,0,259,0.6177606177606177,2,2,True,high,3,61.78
12685,neck swelling,19,148,82,8,0,257,0.6498054474708171,2,2,True,high,3,64.98
9481,l knee injury,2,17,159,77,0,255,0.07450980392156863,3,3,False,mode_based,2,7.45
5671,facial droop,79,143,32,0,0,254,0.8740157480314961,2,2,True,high,3,87.4
11611,lower extremity injury,2,22,153,75,1,253,0.09486166007905138,3,3,False,mode_based,2,9.49
14816,r arm numbness,43,133,72,3,0,251,0.701195219123506,2,2,True,high,3,70.12
8634,insect bite,0,9,121,113,8,251,0.035856573705179286,3,3,False,mode_based,2,3.59
14835,r arm swelling,5,50,185,10,0,250,0.22,3,3,False,mode_based,2,22.0
1228,aphasia,81,153,13,0,0,247,0.9473684210526315,2,2,True,high,3,94.74
9400,l hand laceration,1,24,129,91,0,245,0.10204081632653061,3,3,False,mode_based,2,10.2
5710,facial pain,3,30,182,30,0,245,0.1346938775510204,3,3,False,mode_based,2,13.47
15207,r hand swelling,3,29,195,16,0,243,0.13168724279835392,3,3,False,mode_based,2,13.17
1250,appendicitis,2,70,167,0,0,239,0.301255230125523,3,3,False,moderate,2,30.13
10907,left sided abdominal pain,2,34,200,2,0,238,0.15126050420168066,3,3,False,mode_based,2,15.13
3413,chest pain noncardiac features,6,93,137,1,0,237,0.4177215189873418,3,2,True,high,3,41.77
18153,s p seizure,21,114,97,0,0,232,0.5818965517241379,2,2,True,high,3,58.19
20543,urinary incontinence,22,149,55,3,0,229,0.7467248908296943,2,2,True,high,3,74.67
3044,cardiac arrest,219,9,0,0,0,228,1.0,1,2,True,high,3,100.0
15017,r facial numbness,47,131,47,1,0,226,0.7876106194690266,2,2,True,high,3,78.76
9526,l leg injury,3,53,148,20,0,224,0.25,3,3,False,moderate,2,25.0
9146,l chest pain,3,102,108,5,0,218,0.481651376146789,3,2,True,high,3,48.17
20473,upper back pain,4,42,131,39,0,216,0.21296296296296297,3,3,False,mode_based,2,21.3
15114,r foot swelling,2,26,179,8,0,215,0.13023255813953488,3,3,False,mode_based,2,13.02
1291,arm pain,3,60,131,21,0,215,0.2930232558139535,3,3,False,moderate,2,29.3
20482,upper extremity injury,1,38,131,43,0,213,0.18309859154929578,3,3,False,mode_based,2,18.31
12910,neuro,21,96,95,0,0,212,0.5518867924528302,2,2,True,high,3,55.19
13794,pancreatitis,4,50,158,0,0,212,0.25471698113207547,3,3,False,moderate,2,25.47
9588,l numbness,53,112,47,0,0,212,0.7783018867924528,2,2,True,high,3,77.83
11285,lip laceration,0,19,133,59,0,211,0.09004739336492891,3,3,False,mode_based,2,9.0
6443,finger swelling,0,8,122,78,2,210,0.0380952380952381,3,3,False,mode_based,2,3.81
10446,left flank pain,0,33,174,1,0,208,0.15865384615384615,3,3,False,mode_based,2,15.87
14214,pneumothorax,10,190,8,0,0,208,0.9615384615384616,2,2,True,high,3,96.15
15951,r wrist injury,1,17,150,37,1,206,0.08737864077669903,3,3,False,mode_based,2,8.74
12174,mouth pain,1,25,133,44,3,206,0.1262135922330097,3,3,False,mode_based,2,12.62
11084,leg numbness,10,100,95,0,0,205,0.5365853658536586,2,2,True,high,3,53.66
9342,l foot swelling,2,13,177,13,0,205,0.07317073170731707,3,3,False,mode_based,2,7.32
11298,lip swelling,33,103,53,11,2,202,0.6732673267326733,2,2,True,high,3,67.33
593,abnormal lab values,6,98,97,0,0,201,0.5174129353233831,2,2,True,high,3,51.74
5691,facial injury,7,61,123,9,0,200,0.34,3,3,False,moderate,2,34.0
20712,vaginal discharge,0,9,156,32,0,197,0.04568527918781726,3,3,False,mode_based,2,4.57
964,alcohol withdrawal,6,120,71,0,0,197,0.6395939086294417,2,2,True,high,3,63.96
9528,l leg numbness,19,77,95,4,0,195,0.49230769230769234,3,2,True,high,3,49.23
20172,traumatic back spine injury,3,20,139,32,0,194,0.11855670103092783,3,3,False,mode_based,2,11.86
9262,l facial droop,48,122,24,0,0,194,0.8762886597938144,2,2,True,high,3,87.63
15237,r hip fracture,3,77,114,0,0,194,0.41237113402061853,3,2,True,high,3,41.24
15349,r leg injury,3,53,118,20,0,194,0.28865979381443296,3,3,False,moderate,2,28.87
9440,l hip fracture,4,76,113,0,0,193,0.41450777202072536,3,2,True,high,3,41.45
19025,st,3,9,121,60,0,193,0.06217616580310881,3,3,False,mode_based,2,6.22
1157,anorexia,9,83,101,0,0,193,0.47668393782383417,3,2,True,high,3,47.67
8640,insomnia,1,36,133,20,2,192,0.19270833333333334,3,3,False,mode_based,2,19.27
9419,l hand swelling,1,24,157,10,0,192,0.13020833333333334,3,3,False,mode_based,2,13.02
9467,l inguinal pain,1,36,144,9,1,191,0.193717277486911,3,3,False,mode_based,2,19.37
18744,sinus pain,0,8,119,62,2,191,0.041884816753926704,3,3,False,mode_based,2,4.19
19343,suprapubic pain,0,18,168,4,0,190,0.09473684210526316,3,3,False,mode_based,2,9.47
8159,hypokalemia,6,119,64,0,0,189,0.6613756613756614,2,2,True,high,3,66.14
7270,hand injury,4,49,104,30,2,189,0.2804232804232804,3,3,False,moderate,2,28.04
2930,c spine fracture,18,154,16,0,0,188,0.9148936170212766,2,2,True,high,3,91.49
20399,unknown cc,38,63,66,16,4,187,0.5401069518716578,3,2,True,high,3,54.01
14287,positive blood cultures,2,76,108,0,0,186,0.41935483870967744,3,2,True,high,3,41.94
12151,motorcycle accident,89,55,40,1,0,185,0.7783783783783784,1,2,True,high,3,77.84
16135,rectal bleeding,7,102,75,0,0,184,0.592391304347826,2,2,True,high,3,59.24
87,aaa,51,126,5,0,0,182,0.9725274725274725,2,2,True,high,3,97.25
3679,clogged foley,1,11,155,14,1,182,0.06593406593406594,3,3,False,mode_based,2,6.59
20484,upper extremity pain,1,21,129,30,0,181,0.12154696132596685,3,3,False,mode_based,2,12.15
14891,r chest pain,1,61,115,4,0,181,0.3425414364640884,3,3,False,moderate,2,34.25
16858,right flank pain,1,15,164,0,0,180,0.08888888888888889,3,3,False,mode_based,2,8.89
